"Ano","Trimestre","UF","V1022","V2007","V2009","V2010","VD2003","VD3005","VD4016"
"2021","1","Ceará","Urbana","Homem",80,"Branca",2,"16 anos ou mais de estudo",NA
"2021","1","Distrito Federal","Urbana","Mulher",19,"Parda",4,"11 anos de estudo",NA
"2021","1","Pernambuco","Urbana","Mulher",36,"Preta",2,"12 anos de estudo",1045
"2021","1","Santa Catarina","Urbana","Homem",50,"Parda",2,"5 anos de estudo",1500
"2021","1","São Paulo","Urbana","Mulher",43,"Parda",3,"9 anos de estudo",1600
"2021","1","Goiás","Urbana","Homem",35,"Parda",3,"14 anos de estudo",3000
"2021","1","Amapá","Urbana","Homem",72,"Parda",3,"16 anos ou mais de estudo",NA
"2021","1","São Paulo","Urbana","Mulher",23,"Amarela",8,"12 anos de estudo",1200
"2021","1","Distrito Federal","Urbana","Homem",23,"Parda",5,"14 anos de estudo",1200
"2021","1","Maranhão","Rural","Homem",47,"Parda",9,"5 anos de estudo",2000
"2021","1","Rio Grande do Sul","Urbana","Homem",71,"Branca",2,"9 anos de estudo",NA
"2021","1","Mato Grosso","Rural","Homem",16,"Parda",3,"10 anos de estudo",NA
"2021","1","Bahia","Rural","Homem",48,"Parda",3,"1 ano de estudo",600
"2021","1","Maranhão","Urbana","Mulher",13,"Parda",4,"6 anos de estudo",NA
"2021","1","Alagoas","Rural","Mulher",25,"Parda",5,"5 anos de estudo",NA
"2021","1","Paraíba","Urbana","Mulher",3,"Parda",3,NA,NA
"2021","1","Espírito Santo","Urbana","Mulher",27,"Parda",4,"12 anos de estudo",NA
"2021","1","Mato Grosso","Rural","Mulher",83,"Preta",2,"3 anos de estudo",NA
"2021","1","Distrito Federal","Urbana","Mulher",55,"Preta",1,"12 anos de estudo",2300
"2021","1","Acre","Urbana","Mulher",79,"Parda",1,"9 anos de estudo",NA
"2021","1","Piauí","Rural","Mulher",14,"Parda",5,"8 anos de estudo",NA
"2021","1","Rio Grande do Sul","Urbana","Mulher",80,"Branca",2,"6 anos de estudo",NA
"2021","1","Bahia","Urbana","Homem",20,"Branca",4,"12 anos de estudo",NA
"2021","1","Maranhão","Rural","Mulher",21,"Parda",3,"12 anos de estudo",NA
"2021","1","Alagoas","Rural","Homem",22,"Parda",3,"12 anos de estudo",NA
"2021","1","Pernambuco","Urbana","Mulher",69,"Parda",4,"9 anos de estudo",NA
"2021","1","Rio de Janeiro","Urbana","Mulher",57,"Preta",2,"5 anos de estudo",1100
"2021","1","Alagoas","Urbana","Homem",27,"Branca",5,"12 anos de estudo",1400
"2021","1","Pará","Rural","Mulher",63,"Parda",2,"5 anos de estudo",NA
"2021","1","Distrito Federal","Urbana","Mulher",35,"Branca",4,"12 anos de estudo",2100
"2021","1","Maranhão","Urbana","Homem",28,"Parda",3,"4 anos de estudo",NA
"2021","1","Alagoas","Rural","Homem",41,"Branca",6,"9 anos de estudo",NA
"2021","1","Ceará","Urbana","Mulher",39,"Parda",3,"10 anos de estudo",NA
"2021","1","São Paulo","Rural","Homem",71,"Parda",4,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Paraná","Rural","Mulher",7,"Branca",5,"1 ano de estudo",NA
"2021","1","Santa Catarina","Urbana","Homem",45,"Branca",3,"15 anos de estudo",800
"2021","1","Santa Catarina","Urbana","Homem",11,"Branca",3,"5 anos de estudo",NA
"2021","1","Bahia","Rural","Homem",9,"Branca",5,"1 ano de estudo",NA
"2021","1","São Paulo","Urbana","Mulher",48,"Branca",3,"12 anos de estudo",1200
"2021","1","Santa Catarina","Urbana","Mulher",14,"Branca",3,"8 anos de estudo",NA
"2021","1","Ceará","Rural","Mulher",48,"Parda",5,"16 anos ou mais de estudo",3000
"2021","1","Tocantins","Rural","Mulher",47,"Parda",2,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Mato Grosso","Urbana","Mulher",5,"Parda",3,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","São Paulo","Urbana","Homem",36,"Branca",2,"16 anos ou mais de estudo",NA
"2021","1","Ceará","Urbana","Homem",25,"Parda",3,"12 anos de estudo",NA
"2021","1","São Paulo","Rural","Mulher",55,"Parda",2,"1 ano de estudo",NA
"2021","1","Rio Grande do Sul","Urbana","Homem",8,"Branca",4,"2 anos de estudo",NA
"2021","1","Goiás","Urbana","Homem",64,"Parda",3,"12 anos de estudo",NA
"2021","1","Amazonas","Urbana","Mulher",7,"Parda",4,"1 ano de estudo",NA
